"","state","Year","ViolentCrimeRate_Inc","PropCrimeRate_Inc","PoliceExpenseRate_Inc","CorrectionExpenseRate_Inc"
"967","Oregon","1997","4.21","-5.01","-5.29","-22.27"
"968","Pennsylvania","1997","8.64","2.9","-3.78","-1.35"
"969","Rhode Island","1997","4.11","9.8","-4.29","-0.98"
"970","South Carolina","1997","0.67","1.43","-5.73","-3.68"
"971","South Dakota","1997","-10.23","-8.36","9.47","-21.39"
"972","Tennessee","1997","-1.99","-0.99","-8.71","-6.52"
"973","Texas","1997","6.95","3.82","-2.8","6.39"
"974","United States","1997","4.19","3.12","-2.62","-2.86"
"975","Utah","1997","-0.63","-0.13","-8.76","-4.78"
"976","Vermont","1997","1.25","6.39","5.93","0.67"
"977","Virginia","1997","-1.13","2.72","-4.28","8.56"
"978","Washington","1997","-2.16","-0.13","-3.49","-7"
"979","West Virginia","1997","-3.93","1.02","-3.29","-13.37"
"980","Wisconsin","1997","-6.61","4.74","-2.25","-6.79"
"981","Wyoming","1997","-2.16","2.01","0.57","0.18"
"982","Alabama","1998","10.23","5.88","-9.06","-7.11"
"983","Alaska","1998","7.22","10.87","-5","-2.39"
"984","Arizona","1998","7.93","9.58","-2.8","-15.51"
"985","Arkansas","1998","7.49","10.51","-4.92","-0.87"
"986","California","1998","13.44","11.76","-4.11","9.89"
"987","Colorado","1998","-3.89","4.32","-10.18","-16.2"
"988","Connecticut","1998","6.72","5.06","-3.56","4.51"
"989","Delaware","1998","3.08","8.61","-3.14","-10.62"
"990","Florida","1998","9.04","5.06","-0.12","-2.6"
"991","Georgia","1998","5.92","6.03","0.98","0.28"
"992","Hawaii","1998","12.56","12.95","-5.52","7.71"
"993","Idaho","1998","-9","6.87","-3.76","-12.36"
"994","Illinois","1998","6.65","5.65","-7.69","-6.76"
"995","Indiana","1998","19.4","5.7","-7.24","-4.1"
"996","Iowa","1998","-0.48","9.93","-2.49","-14.72"
"997","Kansas","1998","2.97","6.02","-7.06","-18.18"
"998","Kentucky","1998","-3.38","0.81","-3.94","-12.26"
"999","Louisiana","1998","9.8","5.16","0.68","-10.87"
"1000","Maine","1998","-4.05","3.3","-6.18","-5.53"
"1001","Maryland","1998","6.28","5.2","-4.5","-0.93"
"1002","Massachusetts","1998","3.69","7.69","-4.14","-1.78"
"1003","Minnesota","1998","8.9","9.09","-9.14","-5.93"
"1004","Mississippi","1998","14.2","4.73","-4","-1.2"
"1005","Missouri","1998","3.9","-0.79","-4.01","-13.64"
"1006","Montana","1998","-35.31","2.93","11.48","-11.67"
"1007","Nebraska","1998","-2.88","-2.74","4.63","-8.87"
"1008","Nevada","1998","24.1","13.56","-6.39","-2.86"
"1009","New Hampshire","1998","5.6","9.24","-5.89","0.47"
"1010","New Mexico","1998","-11.24","5.13","0.01","-3.32"
"1011","New York","1998","7.96","9.21","-2.91","-4.33"
"1012","North Carolina","1998","4.76","2.99","-5.6","-1.54"
"1013","North Dakota","1998","-2.35","1.25","-7.58","-25.58"
"1014","Ohio","1998","20.11","2.77","-4.4","-6.13"
"1015","Oklahoma","1998","3.73","10.54","4.06","-13.67"
"1016","Oregon","1998","5.86","11.45","1.87","-11.87"
"1017","Pennsylvania","1998","5.14","4.8","-5.47","-7.03"
"1018","Rhode Island","1998","6.86","3.59","2.55","-3.86"
"1019","South Carolina","1998","9.64","5.54","-4.76","-0.31"
"1020","South Dakota","1998","27.93","23.39","-5.82","5.96"
"1021","Tennessee","1998","10.45","9.32","-5.16","1.37"
"1022","Texas","1998","6.71","7.28","-2.38","-10.15"
"1023","United States","1998","7.65","6.51","-3.77","-3.77"
"1024","Utah","1998","19.5","18.73","-4.42","-11.85"
"1025","Vermont","1998","12.61","-10.69","-5.38","14.05"
"1026","Virginia","1998","5.99","5.88","-4.17","-6.63"
"1027","Washington","1998","2.85","0.86","-0.8","-2.02"
"1028","West Virginia","1998","-12.03","-2.1","-1.86","-15.36"
"1029","Wisconsin","1998","8.67","3.43","-2.07","-12.19"
"1030","Wyoming","1998","3.07","10.27","-2.16","-7.75"
"1031","Alabama","1999","4.47","4.15","-3.26","-10.39"
"1032","Alaska","1999","3.66","10.58","-5.21","4.89"
"1033","Arizona","1999","4.86","12.2","-5.87","6.43"
"1034","Arkansas","1999","15.29","4.87","-4.32","-9.27"
"1035","California","1999","12.2","14.52","5.48","-7.74"
"1036","Colorado","1999","10.98","10.39","0.48","-1.66"
"1037","Connecticut","1999","5.99","12.37","-2.9","-5.92"
"1038","Delaware","1999","3.81","12.12","-4.48","-27.03"
"1039","Florida","1999","9.92","11.14","-3.37","-2.86"
"1040","Georgia","1999","7.27","5.98","-5.08","0.42"
"1041","Hawaii","1999","5.11","10.56","-4.59","-8.6"
"1042","Idaho","1999","15.23","18.15","-3.34","-21.16"
"1043","Illinois","1999","17.14","5.9","-1.09","-2.85"
"1044","Indiana","1999","15.06","10.23","-3.48","-2.23"
"1045","Iowa","1999","11.25","8.34","-5.54","-8.66"
"1046","Kansas","1999","9.01","9.84","0.6","1.75"
"1047","Kentucky","1999","6.39","5.39","-3.38","-15.51"
"1048","Louisiana","1999","6.39","6.08","-4.04","-18.03"
"1049","Maine","1999","12.41","5.51","-1.55","-3.02"
"1050","Maryland","1999","7.16","9.41","-3.53","1.92"
"1051","Massachusetts","1999","12.76","3.8","-12.27","12.04"
"1052","Minnesota","1999","13.21","12.42","-0.4","-1.43"
"1053","Mississippi","1999","17.58","1.33","-10.98","-8.25"
"1054","Missouri","1999","11.1","4.72","-3.06","-4.31"
"1055","Montana","1999","-13.77","26.04","-13.84","-16.17"
"1056","Nebraska","1999","4.93","7.5","-11.95","0.57"
"1057","Nevada","1999","12.93","13.56","-3.79","-4.07"
"1058","New Hampshire","1999","11.09","5.83","-2.66","-15.77"
"1059","New Mexico","1999","15.19","12.28","-11.98","-5.17"
"1060","New York","1999","8.32","9.67","-5.23","-1.66"
"1061","North Carolina","1999","6.88","2.36","-6.81","6.86"
"1062","North Dakota","1999","33.48","11.36","-5.01","-12.5"
"1063","Ohio","1999","14.57","7.74","-2.91","-0.63"
"1064","Oklahoma","1999","6.14","6.92","-1.98","2.42"
"1065","Oregon","1999","11.98","12.97","-3.81","-0.24"
"1066","Pennsylvania","1999","0","5.91","-4.16","-9.07"
"1067","Rhode Island","1999","8.9","-2.74","-5.39","-7.76"
"1068","South Carolina","1999","6.61","8.85","-5.64","1.04"
"1069","South Dakota","1999","-7.83","-0.29","-4.94","-3.56"
"1070","Tennessee","1999","2.88","8","-2.93","5.74"
"1071","Texas","1999","0.77","1.69","-2.21","-0.68"
"1072","United States","1999","8.53","8.25","-2.46","-3.92"
"1073","Utah","1999","1.42","1.42","-4.8","-16.14"
"1074","Vermont","1999","-6.67","12.13","15.71","2.43"
"1075","Virginia","1999","3.5","9","-2.11","-7.21"
"1076","Washington","1999","13.57","11.5","-2.57","-9.29"
"1077","West Virginia","1999","-29.11","-3.01","-6.92","-3.25"
"1078","Wisconsin","1999","1.3","7.99","-6.5","-8.93"
"1079","Wyoming","1999","6.49","10.38","-10.64","-36.96"
"1080","Alabama","2000","0.82","-3.38","3.64","6.15"
"1081","Alaska","2000","11.27","1.25","5.03","-7.64"
"1082","Arizona","2000","3.65","0.89","4.82","-1.24"
"1083","Arkansas","2000","-4.51","-1.44","3.86","-7.18"
"1084","California","2000","0.9","1.91","-1.33","-3.8"
"1085","Colorado","2000","1.95","2.03","2.72","5.23"
"1086","Connecticut","2000","6.44","4.67","3.72","1.31"
"1087","Delaware","2000","7.31","8.17","-1.69","-4.92"
"1088","Florida","2000","5.17","9.6","4.78","4.07"
"1089","Georgia","2000","5.79","8.67","0.51","1.61"
"1090","Hawaii","2000","-3.65","-7.16","5.28","-8.25"
"1091","Idaho","2000","-3.01","-0.97","-0.59","15.28"
"1092","Illinois","2000","5.46","6.69","-3.41","-8.06"
"1093","Indiana","2000","7.3","-0.34","-5","-3.84"
"1094","Iowa","2000","5.11","-0.8","-1.88","-0.27"
"1095","Kansas","2000","-1.69","0.91","4.39","-5.69"
"1096","Kentucky","2000","4.69","-0.75","-4.24","-13.41"
"1097","Louisiana","2000","7.58","5.74","4.4","-8.48"
"1098","Maine","2000","2.19","10.06","0.28","-8.69"
"1099","Maryland","2000","-5.49","3.64","-4.31","-12.62"
"1100","Massachusetts","2000","15.73","6.33","-0.2","8.06"
"1101","Minnesota","2000","-2.42","3.62","0.01","-1.13"
"1102","Mississippi","2000","-3.21","7.62","3.61","3.55"
"1103","Missouri","2000","2.08","1","2.82","0.72"
"1104","Montana","2000","-23.88","-7.63","-5.62","2.35"
"1105","Nebraska","2000","31.32","-2.39","-0.56","-20.82"
"1106","Nevada","2000","8.72","9.05","-1.98","-1.7"
"1107","New Hampshire","2000","-44.98","-3.22","-0.34","-0.24"
"1108","New Mexico","2000","10.12","7.71","-0.18","0.54"
"1109","New York","2000","6.3","5.69","4.63","4.4"
"1110","North Carolina","2000","8.94","4.79","-1.51","3.84"
"1111","North Dakota","2000","-17.81","5.47","1.51","23.52"
"1112","Ohio","2000","-5.3","-0.74","-0.09","-8.82"
"1113","Oklahoma","2000","2.09","2.83","-15.21","-7.48"
"1114","Oregon","2000","6.9","2.94","-3.4","-0.1"
"1115","Pennsylvania","2000","0.12","4.58","0.19","1.58"
"1116","Rhode Island","2000","-3.73","3.69","-2.75","10.48"
"1117","South Carolina","2000","2.31","-0.91","-3.63","7.31"
"1118","South Dakota","2000","0.36","15.04","5.22","2.56"
"1119","Tennessee","2000","-1.73","-4.39","-2.03","3.14"
"1120","Texas","2000","2.79","1.38","3.89","6.96"
"1121","United States","2000","3.26","3.46","0.23","-0.34"
"1122","Utah","2000","7.78","11.4","2.5","9.09"
"1123","Vermont","2000","0.35","-5.87","-15.33","-37.25"
"1124","Virginia","2000","11.71","11.39","0.39","-0.97"
"1125","Washington","2000","2.06","3","0.31","2.13"
"1126","West Virginia","2000","10.81","3.66","-4.55","-13.71"
"1127","Wisconsin","2000","3.8","2.62","-0.96","-4.98"
"1128","Wyoming","2000","-12.76","6.39","0.54","2.87"
"1129","Alabama","2002","9.26","0.79","-2.85","-7.57"
"1130","Alaska","2002","0.27","-2.05","-28.42","6.72"
"1131","Arizona","2002","-4.11","-9.44","-3.54","-5.7"
"1132","Arkansas","2002","4.78","-1.83","-7.73","-6.17"
"1133","California","2002","4.4","-7.23","-6.78","-13.82"
"1134","Colorado","2002","-5.36","-8.79","-15.35","4.81"
"1135","Connecticut","2002","3.9","7.65","-7.34","-7.87"
"1136","Delaware","2002","14.07","13.38","-6.33","21.16"
"1137","Florida","2002","5.29","4.86","-7.15","6.12"
"1138","Georgia","2002","9.81","4.69","-10.33","-15.02"
"1139","Hawaii","2002","-7.27","-14.59","-6.77","5.17"
"1140","Idaho","2002","-0.82","0.7","-6.61","-9.58"
"1141","Illinois","2002","8.62","4.83","0.21","-0.7"
"1142","Indiana","2002","-2.29","0.26","-0.42","-8.54"
"1143","Iowa","2002","-6.76","-6.2","-2.4","-5.41"
"1144","Kansas","2002","3.23","8.16","-5.2","1.87"
"1145","Kentucky","2002","8.51","0.38","-4.92","7.67"
"1146","Louisiana","2002","2.68","6.74","-2.43","5.38"
"1147","Maine","2002","1.67","-1.46","-3.83","-10.16"
"1148","Maryland","2002","2.05","1.16","-9.8","-5.57"
"1149","Massachusetts","2002","-1.81","-2.38","8.4","-25.33"
"1150","Minnesota","2002","5.09","-1.74","-8.47","-2.77"
"1151","Mississippi","2002","4.94","-4.69","-7.78","-4.78"
"1152","Missouri","2002","-9.09","-0.69","-7.91","-12.74"
"1153","Montana","2002","-11.42","13","-15.85","7.86"
"1154","Nebraska","2002","4.26","-4.53","-7.26","-5.22"
"1155","Nevada","2002","-18","-3.26","-6.01","6.22"
"1156","New Hampshire","2002","8.74","9.61","-4.92","8.06"
"1157","New Mexico","2002","2.32","9.57","-0.79","-9.67"
"1158","New York","2002","11.54","10.18","-10.37","-0.77"
"1159","North Carolina","2002","5.65","3.83","-1","6.6"
"1160","North Dakota","2002","4.09","-5.24","-8.77","-30.35"
"1161","Ohio","2002","-5","-1.39","-7.58","12.1"
"1162","Oklahoma","2002","-1.23","-4.33","-3.73","-3.61"
"1163","Oregon","2002","19.9","-1.81","-3.08","-2.98"
"1164","Pennsylvania","2002","4.45","5.53","-4.83","-4.93"
"1165","Rhode Island","2002","4.24","-3.91","-5.86","-5.91"
"1166","South Carolina","2002","0.66","0.89","-3.33","4.67"
"1167","South Dakota","2002","-6.03","2.38","-12.14","-8.56"
"1168","Tennessee","2002","-1.48","-2.89","2.36","-6.87"
"1169","Texas","2002","-5.97","-4.54","-6.39","-7.06"
"1170","United States","2002","2.45","-0.34","-5.8","-4.47"
"1171","Utah","2002","8.03","0.22","-6.21","1.53"
"1172","Vermont","2002","6.37","18.54","-10.4","-11.85"
"1173","Virginia","2002","-3.43","-3.67","-3.43","-3.46"
"1174","Washington","2002","7","-0.56","-0.77","-1.15"
"1175","West Virginia","2002","35.31","0.4","-6.94","-4.74"
"1176","Wisconsin","2002","5.24","-1.86","-6.32","-7.21"
"1177","Wyoming","2002","-2.52","-8.32","-13.94","-5.5"
"1178","Alabama","2004","4.22","-0.04","-2.16","-17.78"
"1179","Alaska","2004","-10.58","11.53","51.75","5.9"
"1180","Arizona","2004","9.93","15.31","-1.58","6.86"
"1181","Arkansas","2004","-15.39","-7.31","-2.42","-13.92"
"1182","California","2004","12.81","-1.83","-5.77","2.98"
"1183","Colorado","2004","-5.13","2.09","4.77","10.57"
"1184","Connecticut","2004","8.13","0.61","2.91","22.04"
"1185","Delaware","2004","-2.44","1.9","2.33","7.87"
"1186","Florida","2004","8.35","11.33","-4.2","3.67"
"1187","Georgia","2004","1.91","-3.96","2.44","5.4"
"1188","Hawaii","2004","3.26","20.98","3.12","6.32"
"1189","Idaho","2004","2.91","4.75","4.88","7.26"
"1190","Illinois","2004","10.3","7.75","-1.41","8.99"
"1191","Indiana","2004","9.63","-0.28","2.67","-2.02"
"1192","Iowa","2004","-0.73","8.91","-1.7","10.34"
"1193","Kansas","2004","-0.19","-7.46","-7.04","-4.39"
"1194","Kentucky","2004","10.73","4.52","-3.12","3.25"
"1195","Louisiana","2004","3.64","0.52","-4.7","-3.72"
"1196","Maine","2004","3.95","5.54","-6.92","-3.84"
"1197","Maryland","2004","10.02","9.41","0.09","2.68"
"1198","Massachusetts","2004","5.37","5.83","2.06","15.62"
"1199","Minnesota","2004","-0.96","7.32","-6.69","-1.19"
"1200","Mississippi","2004","16.42","9.81","-3.46","-5.59"
"1201","Missouri","2004","9.98","4.25","0.6","4.62"
"1202","Montana","2004","19.54","7.56","8.69","-10.23"
"1203","Nebraska","2004","1.81","12.13","0.53","-8.53"
"1204","Nevada","2004","3.72","-8.06","4.2","4.13"
"1205","New Hampshire","2004","-4.84","0.39","-5.07","-5.42"
"1206","New Mexico","2004","7.75","3.5","-0.75","-5.28"
"1207","New York","2004","12.76","5.38","3.49","3.27"
"1208","North Carolina","2004","5.18","2.36","0.09","-4.57"
"1209","North Dakota","2004","-10.83","18.61","-4.57","6.36"
"1210","Ohio","2004","3.84","2.67","0.51","4.13"
"1211","Oklahoma","2004","0.7","0.06","3.67","2.09"
"1212","Oregon","2004","-2.04","-1.25","-0.24","17.81"
"1213","Pennsylvania","2004","-2.28","0.96","10.75","-0.36"
"1214","Rhode Island","2004","15.39","14.63","-10.74","3.06"
"1215","South Carolina","2004","4.15","-1.28","6.17","5.75"
"1216","South Dakota","2004","3.68","8.87","-9.47","5.5"
"1217","Tennessee","2004","2.9","-0.44","-4.48","-7.33"
"1218","Texas","2004","7.17","2.72","-5.8","17.06"
"1219","United States","2004","6.74","3.32","-1.53","3.82"
"1220","Utah","2004","1.46","4.27","2.82","0.07"
"1221","Vermont","2004","-7.06","3.43","-15.04","-9.67"
"1222","Virginia","2004","5.88","6.46","-6.23","5.11"
"1223","Washington","2004","0.55","-1.73","-1.94","-1.36"
"1224","West Virginia","2004","-17.03","-10.9","-7.09","-1.21"
"1225","Wisconsin","2004","7.24","13.61","-2.64","7.93"
"1226","Wyoming","2004","18.92","-0.96","-6.39","-11.24"
"1227","Alabama","2005","-1.39","3.32","-2.58","4.99"
"1228","Alaska","2005","0.05","-6.75","-5.21","-6.4"
"1229","Arizona","2005","-1.48","5.1","-0.87","-5.39"
"1230","Arkansas","2005","-4.87","-0.86","3.18","22.83"
"1231","California","2005","0.34","3.1","0.63","-0.6"
"1232","Colorado","2005","-6.3","-3.03","-3.56","-2.6"
"1233","Connecticut","2005","5.86","4.11","-0.46","-1.06"
"1234","Delaware","2005","-2.84","5.31","-11.05","-2.48"
"1235","Florida","2005","0.39","4.22","-5.97","0.11"
"1236","Georgia","2005","1.12","1.89","2.02","5.11"
"1237","Hawaii","2005","-0.55","-0.09","2.68","-3.29"
"1238","Idaho","2005","-3.74","3.11","1.73","-1.53"
"1239","Illinois","2005","-1.14","2.66","0.95","9.89"
"1240","Indiana","2005","0.59","-1.63","-8.41","-0.59"
"1241","Iowa","2005","-1.77","2.1","-4.11","0.28"
"1242","Kansas","2005","-2.85","5.5","-4.88","17.62"
"1243","Kentucky","2005","-8.2","0.36","2.75","2.35"
"1244","Louisiana","2005","7.2","19.56","-3.74","-7.04"
"1245","Maine","2005","-7.41","-0.22","-0.69","-5.81"
"1246","Maryland","2005","-0.48","2.53","-0.63","-6.67"
"1247","Massachusetts","2005","-0.17","4.67","-2.38","-1.55"
"1248","Minnesota","2005","-9.16","-1.5","1.95","1.3"
"1249","Mississippi","2005","5.5","6.33","2.13","5.08"
"1250","Missouri","2005","-6.83","-0.74","-3.08","2.95"
"1251","Montana","2005","4.18","-6.67","-2.79","-3.21"
"1252","Nebraska","2005","7.53","2.55","-1.54","8.04"
"1253","Nevada","2005","1.38","-0.85","-3.77","4.99"
"1254","New Hampshire","2005","25.56","11.58","-1.73","-12.03"
"1255","New Mexico","2005","6.41","1.61","-1.84","-3.86"
"1256","New York","2005","-0.81","4.31","-3.45","1.95"
"1257","North Carolina","2005","-4.52","1.97","-0.41","-8.34"
"1258","North Dakota","2005","-20.99","-3.04","-12.09","-9"
"1259","Ohio","2005","-3.23","-0.16","-0.4","2.15"
"1260","Oklahoma","2005","-1.67","4.82","-3.43","1.39"
"1261","Oregon","2005","4.04","5.3","-4.53","-5.42"
"1262","Pennsylvania","2005","-3.18","-0.19","1.02","-6.02"
"1263","Rhode Island","2005","-1.79","5.79","0.18","-5.33"
"1264","South Carolina","2005","2.99","3.82","2.48","4.57"
"1265","South Dakota","2005","-4.36","9.32","-0.77","-4.55"
"1266","Tennessee","2005","-7.85","0.62","-2.82","0.13"
"1267","Texas","2005","2.44","4.14","-1.15","3.66"
"1268","United States","2005","-1.24","2.41","-1.3","-0.51"
"1269","Utah","2005","3.69","5.25","-5.39","4.15"
"1270","Vermont","2005","-8.89","-1.11","-11.67","-0.13"
"1271","Virginia","2005","-2.65","1.1","-2.67","-7.32"
"1272","Washington","2005","-0.69","-0.89","-2.77","-3.48"
"1273","West Virginia","2005","2.88","-2.93","0.52","-8.24"
"1274","Wisconsin","2005","-13.31","-0.12","6.44","-0.31"
"1275","Wyoming","2005","-0.04","5.72","-2.8","-42.24"
"1276","Alabama","2006","1.83","-1.04","-7.07","-2.02"
"1277","Alaska","2006","-8.14","1.03","-0.04","-2.39"
"1278","Arizona","2006","-5.64","1.11","-3.17","-1.32"
"1279","Arkansas","2006","-4.49","2.07","-1.01","-8.85"
"1280","California","2006","-1.41","4.38","-1.51","-6.15"
"1281","Colorado","2006","0.4","17.53","4.36","-6.03"
"1282","Connecticut","2006","-8.91","-0.27","-4.37","-2.99"
"1283","Delaware","2006","-9.7","-10.31","-13","-6.76"
"1284","Florida","2006","-1.03","0.67","-0.08","-2.71"
"1285","Georgia","2006","-6.68","7.01","-6.83","-2.2"
"1286","Hawaii","2006","-8.8","13.75","0.2","-0.95"
"1287","Idaho","2006","2.8","12.57","-0.02","1.68"
"1288","Illinois","2006","1.92","2.4","-1.91","1.8"
"1289","Indiana","2006","0.75","0.3","5.34","6.19"
"1290","Iowa","2006","2.56","0.76","-2.8","-5.61"
"1291","Kansas","2006","-10.1","0.9","-2.8","-2.51"
"1292","Kentucky","2006","-1.15","-2.72","-5.06","4.15"
"1293","Louisiana","2006","-17.22","-9.43","-10.82","-7.02"
"1294","Maine","2006","-3.45","-5.02","1.08","0.68"
"1295","Maryland","2006","3.74","2.01","-3.41","3.63"
"1296","Massachusetts","2006","-7.89","-1.4","-2.75","-4.2"
"1297","Minnesota","2006","-4.35","0.18","-5.15","1.08"
"1298","Mississippi","2006","-10.2","2.63","-5.18","-1.81"
"1299","Missouri","2006","-3.65","2.48","2.26","8.63"
"1300","Montana","2006","-25.26","10.12","-1.8","-7.09"
"1301","Nebraska","2006","-2.35","2.15","-7.24","1.99"
"1302","Nevada","2006","-18.8","3.54","-5.92","6.85"
"1303","New Hampshire","2006","-2.74","-7.21","-4.22","-3.34"
"1304","New Mexico","2006","-1.33","6.27","-2.19","1.34"
"1305","New York","2006","2.02","1.82","0.28","-2.4"
"1306","North Carolina","2006","-1.3","-0.88","-5.55","3.52"
"1307","North Dakota","2006","-43.77","-3.61","-2.58","-6.02"
"1308","Ohio","2006","-3.18","-0.55","1.08","-3.57"
"1309","Oklahoma","2006","1.76","11.66","-2.84","-1.59"
"1310","Oregon","2006","0.84","18.17","1.76","-5.03"
"1311","Pennsylvania","2006","-3.91","-1.07","-2.42","5.87"
"1312","Rhode Island","2006","9.37","4.34","4.44","-7.18"
"1313","South Carolina","2006","-0.53","2.23","-8.3","-2.05"
"1314","South Dakota","2006","-32.43","0.03","2.4","-24.04"
"1315","Tennessee","2006","-0.72","3.92","1.6","-3.06"
"1316","Texas","2006","2.07","5.78","-0.48","-0.77"
"1317","United States","2006","-2.15","2.54","-1.53","-1.66"
"1318","Utah","2006","-0.57","9.24","-0.3","-0.54"
"1319","Vermont","2006","-13.16","-0.89","2.24","-1.27"
"1320","Virginia","2006","-0.25","6.42","-2.94","-4.63"
"1321","Washington","2006","-0.77","8.42","1.8","0.61"
"1322","West Virginia","2006","-2.56","-0.13","-2.13","-1.23"
"1323","Wisconsin","2006","-15.41","-5.39","-1.87","-1.99"
"1324","Wyoming","2006","-9.38","5.74","-6.75","37.58"
"1325","Alabama","2007","-5.28","-0.92","-2.82","-15.19"
"1326","Alaska","2007","4.04","5.89","-4.22","-7.54"
"1327","Arizona","2007","4.75","5.33","-12.34","-2.12"
"1328","Arkansas","2007","2.92","0.76","2.02","3.4"
"1329","California","2007","1.79","4.54","-6.24","-10.86"
"1330","Colorado","2007","12.39","14.64","-3.2","-7.44"
"1331","Connecticut","2007","-0.46","4.67","2.01","-3.71"
"1332","Delaware","2007","-0.62","2.9","-4.29","-4.09"
"1333","Florida","2007","-0.86","-2.51","-2.17","-0.84"
"1334","Georgia","2007","-2.77","-0.41","-3.73","-5.09"
"1335","Hawaii","2007","1.67","2.44","-6.27","-6.66"
"1336","Idaho","2007","-2.42","5.28","-3.04","1.88"
"1337","Illinois","2007","1.58","2.85","-4.08","-2.8"
"1338","Indiana","2007","-4.23","2.33","-4.01","-0.93"
"1339","Iowa","2007","-4.83","6.62","0.08","-15.14"
"1340","Kansas","2007","-5.65","1.7","-3.28","1.51"
"1341","Kentucky","2007","-7.09","2.19","9.22","-0.93"
"1342","Louisiana","2007","-2.59","-2.95","-0.83","-3.61"
"1343","Maine","2007","-2.36","4.02","-2.08","-5.67"
"1344","Maryland","2007","5.72","1.44","-7.12","-9.5"
"1345","Massachusetts","2007","13.31","-0.32","-5.62","-7.12"
"1346","Minnesota","2007","7.22","1.24","-4.68","-8.95"
"1347","Mississippi","2007","7.04","2.45","3.09","-9.83"
"1348","Missouri","2007","-2.64","0.12","-11.89","4.24"
"1349","Montana","2007","-0.66","-1.7","-3.3","1.02"
"1350","Nebraska","2007","-5.59","6.92","-3.15","-7.18"
"1351","Nevada","2007","-0.81","8.33","-4.48","-11.24"
"1352","New Hampshire","2007","-3.68","-1.2","-4.54","3.88"
"1353","New Mexico","2007","-3.11","1.9","-11.96","5.33"
"1354","New York","2007","5.02","3.85","1.99","-6.82"
"1355","North Carolina","2007","1.95","0.83","-1.16","-6.69"
"1356","North Dakota","2007","-5.96","5.03","5.46","-13.24"
"1357","Ohio","2007","1.72","6.35","-6.68","25.67"
"1358","Oklahoma","2007","-0.77","1.86","-2.58","-1.31"
"1359","Oregon","2007","-3.16","5.14","1.8","-3.07"
"1360","Pennsylvania","2007","6.14","3.59","-2.35","-5.24"
"1361","Rhode Island","2007","0.57","0.3","-10.83","-9.93"
"1362","South Carolina","2007","-1.86","-0.47","-0.47","-1.5"
"1363","South Dakota","2007","9.51","1.7","0.74","5.3"
"1364","Tennessee","2007","0.99","0.95","-6.59","-1.3"
"1365","Texas","2007","1.35","-0.95","-2.87","-1.84"
"1366","United States","2007","1.59","2.14","-3.18","-4.6"
"1367","Utah","2007","-5.67","-0.18","3.09","-0.05"
"1368","Vermont","2007","12.39","1.05","-1.23","-8.63"
"1369","Virginia","2007","4","0.11","-5.53","-6.12"
"1370","Washington","2007","3.63","11.44","-2.2","-7.01"
"1371","West Virginia","2007","1.59","4.71","-9.85","-4.21"
"1372","Wisconsin","2007","-1.85","-0.81","-0.66","-3.11"
"1373","Wyoming","2007","-1.28","3.73","-1.46","9.69"
"1374","Alabama","2008","-0.86","-2.61","-2.12","13.48"
"1375","Alaska","2008","1.41","15.44","-6.21","0.83"
"1376","Arizona","2008","6.67","10.49","0.85","-0.06"
"1377","Arkansas","2008","4.7","2.34","-0.13","-6.34"
"1378","California","2008","3.95","3.49","-4.08","-2.65"
"1379","Colorado","2008","-0.59","6.32","-2.78","2.12"
"1380","Connecticut","2008","-1.83","-0.81","-5.21","-3.94"
"1381","Delaware","2008","-0.45","-6.01","15.47","-0.68"
"1382","Florida","2008","4.89","-1.25","-2.67","-7.12"
"1383","Georgia","2008","0.53","-2.88","-1.83","1.25"
"1384","Hawaii","2008","1.32","15.5","-5.44","-6.14"
"1385","Idaho","2008","6.09","8.57","-1.37","-8.12"
"1386","Illinois","2008","1.48","0.11","-0.26","-1.57"
"1387","Indiana","2008","-0.53","0.61","-3.82","-4.3"
"1388","Iowa","2008","4.2","8.52","-0.16","2.93"
"1389","Kansas","2008","11.23","9.54","3.85","-13.56"
"1390","Kentucky","2008","-2.19","-5.06","-6.39","-6.47"
"1391","Louisiana","2008","10.28","8.34","-2.83","-8.35"
"1392","Maine","2008","-0.5","-0.63","3.07","-3.3"
"1393","Maryland","2008","2.18","-2.45","0.79","2.75"
"1394","Massachusetts","2008","-4.76","-0.01","3.58","-4.49"
"1395","Minnesota","2008","9.12","6.31","-3.59","-4.27"
"1396","Mississippi","2008","-4.27","7.04","-0.48","-7.73"
"1397","Missouri","2008","11.6","4.55","1.54","-4.48"
"1398","Montana","2008","21.97","6.9","-5.01","-6.82"
"1399","Nebraska","2008","-0.32","9.14","-8.5","5.52"
"1400","Nevada","2008","3.45","9.37","-3.87","-9.33"
"1401","New Hampshire","2008","-7.69","-7.02","-3.01","1.37"
"1402","New Mexico","2008","3.4","0","3.72","-11.59"
"1403","New York","2008","4.15","-0.3","-1.83","2.45"
"1404","North Carolina","2008","-0.32","1","-3.11","4"
"1405","North Dakota","2008","-6.54","-1.52","-8.75","9.5"
"1406","Ohio","2008","0.97","1.7","-0.76","-14.12"
"1407","Oklahoma","2008","-5.16","2.43","-1.8","-1.24"
"1408","Oregon","2008","12.43","7.28","-0.96","2.34"
"1409","Pennsylvania","2008","1.63","-2.02","-3.09","3.58"
"1410","Rhode Island","2008","-9.38","-8.37","6.45","0.01"
"1411","South Carolina","2008","7.48","1.29","-2.99","-3.78"
